id,title,artist,composer,lyricist,arranger,producer,year,bpm
1KaqLdXibQq7VFZtfn8N,"愛才","衛蘭","伍樂城","林夕","","",,
27bwAPosoTIw6sji4Z1A,"專屬天使","TANK","TANK","施人誠","","",,
2TYyWEHycZQFwYA4HMeg,"愛比死更冷","周國賢","周國賢","小克","","",,
2Ty2Xm7c7eZ2qNWqt0z3,"BONBON  Journey of Unknown","Unknown","LEECAT","LEECAT HO","","",,
3bwxkzlaeGxBOWaB8qdN,"伴我啟航","小虎隊","黎小田","鄭國江","","",,
4U5Oe9ZGxnX40g0tXVbh,"不完美女孩","周冬雨","顏小健","藍小邪","","",,
4ZziGJAWiDGuWAEKESsf,"結他CHORD譜","睡前服","小肥 4/4","Tim Lui","","",,
4c7yhjlNI5mY7nyD0SiU,"雙人床的空位","周柏豪","KENIX CHEANG","林夕","","",,
6XuFeZazQPvKXglSRlKU,"像我這一種男人","古天樂","黃尚偉","林夕","","",,
7ER5UgninERdLXSD25WG,"月球上的人","陳奕迅","蘇耀宗","林若寧","","",,
7UPZ0MVO8OSSgQsW0x5J,"零時十分","林子祥","林子祥","林振強","","",,
7ldSlcjvbBiK3NF4qEys,"新歌 ＋專訪！！！！！","Pandora","Tony","Tony Huen@Pandora / Michael Huen@Pandora 作","","",,
814xZjZ3pMlUJm1oVAbv,"追光者","岑寧兒","馬敬","唐恬","","",,
8r3I6cNkgmdsE6XoQafJ,"有種","鄭中基","陳輝陽＠好好笑 4/4","林夕","","",,
AO5tO89cUXGeyigU5Z0x,"蘇俏慧 結他女","Unknown","蘇俏慧","陳庭鋒@Chessman","","",,
ASzfXT1RSpDwYzoAFG5I,"吻別","張學友","殷文琦","何啟弘","","",,
BC4fm4nNIRrcLlbhMn9a,"小風波","譚詠麟","Graham","鄭國江","","",,
BTyRS93LBb8Q8A0nxm1C,"難得一遇","林奕匡","林奕匡","陳詠謙","","",,
Bsu6DLrqJTTA6Zo4LtXr,"牆紙","容祖兒","方大同","黃偉文","","",,
C3giTHLd0LWOY6IzIE3k,"我的驕傲","容祖兒","陳光榮","黃偉文","","",,
CUFbylV0VGcV3QNfh2wp,"別說","JC","金大洲","王雅君","","",,
CYs9bIdGyf2krRBWx2U6,"離魂記","周國賢","周國賢","梁栢堅 編：?","","",,
CbM5p83RqEL4rbtgSojm,"人生使用說明","連詩雅","徐浩 / 易子竣","張楚翹","","",,
DKEGi1dZcMl1LiW2Hbc7,"阿樂","許廷鏗","Eric Kwok","林若寧","","",,
FHwEfSV1hfFqH8ru5Dfo,"豆漿油條","林俊傑","林俊傑","張思爾","","",,
HYovNPGjxHdlH57qC2Xh,"K歌之王","陳奕迅","陳輝陽","林夕","","",,
HtPRdKCJlgu2AAeTdAhg,"我最愛糖","糖兄妹","糖兄 編：金木義則 / 糖兄","糖妹","","",,
I8jC5YNuS8IVOBQWXDWt,"有人共鳴","林奕匡","林奕匡","林若寧 4/4","","",,
IqprLNQ4Tn9ve4ngLeQA,"電燈膽","鄧麗欣 Stephy Tang","李峻一","李峻一","","",,
J8Nx6z3strMb7hdjojAf,"求救的勇氣 Through The Night","陳蕾 Panther Chan","陳蕾","陳蕾","","",,
JnAe6lPXdzK4PfbEWG1U,"中暑傷風加失戀x2 Arctic Summer","Kiri T","Kiri T","小克","","",,
KCQfpK2RARZ00QctewdH,"星光伴我心 鄭中基","Unknown","金培達 作","陳少琪 4/4","","",,
KUsPPJF10sKoW8Jw5ixG,"愛需要勇氣","何雁詩","張家誠","張美賢","","",,
KWZ6Z3mYEhtlNqMhzpqd,"余文樂 生還者","Unknown","伍仲衡","陳少琪","","",,
L5uUSauJJQZDNqz1K5pi,"終於我們","周柏豪","周柏豪","陳詠謙","","",,
L86xKcqaFJvbS6nX5fuc,"貳號碼頭  就這樣不退場","Wharf Two","廖舒衡","廖舒衡","","",,
LFjPIhDQwoUXcnZDJ3Vi,"密室","C Allstar","徐繼宗@搞大音樂","小廣@groovision 作","","",,
